File Name,Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,10.29,12.26,0.71,FCMGorilla
SyntheticControl,12.22,13.69,0.7,FCMGorilla
Worms,12.2,14.95,0.71,FCMGorilla
Computers,38.76,41.34,0.24,FCMGorilla
HouseTwenty,14.14,16.15,0.6,FCMGorilla
GestureMidAirD3,13.73,15.93,0.68,FCMGorilla
Chinatown,7.97,8.57,0.69,FCMGorilla
UWaveGestureLibraryAll,9.76,9.8,0.54,FCMGorilla
Strawberry,10.24,10.9,0.68,FCMGorilla
Car,9.64,12.77,0.72,FCMGorilla
GunPointAgeSpan,11.9,12.92,0.67,FCMGorilla
GestureMidAirD2,11.13,13.24,0.68,FCMGorilla
BeetleFly,10.86,10.05,0.71,FCMGorilla
Wafer,16.13,19.42,0.44,FCMGorilla
CBF,10.94,10.91,0.7,FCMGorilla
Adiac,11.27,11.3,0.71,FCMGorilla
ItalyPowerDemand,11.11,11.28,0.68,FCMGorilla
Yoga,9.52,9.62,0.71,FCMGorilla
AllGestureWiimoteY,11.77,10.35,0.67,FCMGorilla
Trace,11.75,11.4,0.73,FCMGorilla
PigAirwayPressure,11.81,13.78,0.66,FCMGorilla
ShapesAll,10.14,11.64,0.71,FCMGorilla
Beef,8.7,9.11,0.7,FCMGorilla
GesturePebbleZ2,10.96,15.01,0.67,FCMGorilla
Mallat,8.66,7.79,0.72,FCMGorilla
GunPointOldVersusYoung,14.11,16.42,0.67,FCMGorilla
MiddlePhalanxTW,9.16,15.35,0.64,FCMGorilla
AllGestureWiimoteX,11.06,10.84,0.67,FCMGorilla
Meat,14.12,11.17,0.69,FCMGorilla
Herring,11.45,8.91,0.72,FCMGorilla
MiddlePhalanxOutlineCorrect,10.89,13.77,0.69,FCMGorilla
InsectEPGRegularTrain,13.18,16.91,0.64,FCMGorilla
FordA,10.4,11.82,0.71,FCMGorilla
SwedishLeaf,12.55,12.44,0.69,FCMGorilla
InlineSkate,10.45,11.04,0.68,FCMGorilla
DodgerLoopDay,11.9,12.87,0.67,FCMGorilla
UMD,11.62,15.79,0.67,FCMGorilla
CricketY,11.43,12.52,0.7,FCMGorilla
WormsTwoClass,11.11,15.07,0.71,FCMGorilla
SmoothSubspace,14.02,18.8,0.68,FCMGorilla
OSULeaf,11.01,12.21,0.71,FCMGorilla
Ham,11.97,13.68,0.68,FCMGorilla
CricketX,10.23,13.22,0.7,FCMGorilla
SonyAIBORobotSurface1,12.48,14.48,0.62,FCMGorilla
ToeSegmentation1,11.92,12.65,0.66,FCMGorilla
ScreenType,43.74,43.66,0.17,FCMGorilla
PigArtPressure,11.55,13.05,0.68,FCMGorilla
SmallKitchenAppliances,50.26,72.4,0.11,FCMGorilla
Crop,11.89,14.21,0.6,FCMGorilla
MoteStrain,11.71,11.26,0.69,FCMGorilla
MelbournePedestrian,11.15,13.77,0.68,FCMGorilla
ECGFiveDays,12.54,15.03,0.65,FCMGorilla
Wine,13.03,13.9,0.68,FCMGorilla
SemgHandMovementCh2,11.0,14.37,0.67,FCMGorilla
FreezerSmallTrain,10.95,10.31,0.74,FCMGorilla
UWaveGestureLibraryZ,12.37,14.4,0.54,FCMGorilla
NonInvasiveFetalECGThorax1,10.36,11.33,0.69,FCMGorilla
TwoLeadECG,11.48,13.31,0.66,FCMGorilla
Lightning7,15.49,13.49,0.57,FCMGorilla
Phoneme,9.58,7.84,0.7,FCMGorilla
SemgHandSubjectCh2,10.15,11.05,0.67,FCMGorilla
DodgerLoopWeekend,14.25,16.1,0.67,FCMGorilla
MiddlePhalanxOutlineAgeGroup,12.65,10.42,0.69,FCMGorilla
GestureMidAirD1,12.12,17.19,0.68,FCMGorilla
DistalPhalanxOutlineCorrect,16.33,15.8,0.64,FCMGorilla
DistalPhalanxTW,11.66,17.02,0.62,FCMGorilla
FacesUCR,11.09,11.95,0.68,FCMGorilla
ECG5000,10.56,12.19,0.69,FCMGorilla
ShakeGestureWiimoteZ,15.86,20.44,0.68,FCMGorilla
GesturePebbleZ1,13.79,13.07,0.66,FCMGorilla
HandOutlines,9.97,10.09,0.71,FCMGorilla
GunPointMaleVersusFemale,13.76,15.83,0.67,FCMGorilla
Coffee,8.86,9.18,0.71,FCMGorilla
Rock,11.51,7.26,0.67,FCMGorilla
MixedShapesSmallTrain,8.33,9.24,0.72,FCMGorilla
AllGestureWiimoteZ,7.12,13.26,0.67,FCMGorilla
FordB,10.23,11.42,0.71,FCMGorilla
FiftyWords,11.55,13.5,0.69,FCMGorilla
InsectWingbeatSound,10.82,11.73,0.69,FCMGorilla
MedicalImages,12.09,12.88,0.68,FCMGorilla
Symbols,12.08,12.86,0.64,FCMGorilla
ArrowHead,13.85,15.31,0.7,FCMGorilla
ProximalPhalanxOutlineAgeGroup,9.38,20.62,0.58,FCMGorilla
EOGHorizontalSignal,10.73,12.54,0.67,FCMGorilla
TwoPatterns,15.6,17.53,0.48,FCMGorilla
ChlorineConcentration,10.77,12.59,0.69,FCMGorilla
Plane,9.5,17.98,0.7,FCMGorilla
ACSF1,14.73,17.72,0.61,FCMGorilla
PhalangesOutlinesCorrect,13.29,15.88,0.63,FCMGorilla
ShapeletSim,11.96,13.92,0.72,FCMGorilla
DistalPhalanxOutlineAgeGroup,15.67,12.17,0.63,FCMGorilla
InsectEPGSmallTrain,13.27,17.13,0.64,FCMGorilla
PickupGestureWiimoteZ,9.51,16.71,0.68,FCMGorilla
EOGVerticalSignal,11.77,12.26,0.67,FCMGorilla
CricketZ,10.79,13.28,0.7,FCMGorilla
FaceFour,12.3,14.67,0.59,FCMGorilla
RefrigerationDevices,25.18,31.46,0.33,FCMGorilla
PLAID,10.58,8.05,0.67,FCMGorilla
MixedShapesRegularTrain,6.04,10.01,0.72,FCMGorilla
GunPoint,11.46,10.4,0.71,FCMGorilla
DodgerLoopGame,9.72,14.06,0.67,FCMGorilla
ECG200,4.19,5.44,0.7,FCMGorilla
ToeSegmentation2,9.86,9.67,0.68,FCMGorilla
WordSynonyms,11.95,8.21,0.67,FCMGorilla
Fungi,12.99,19.31,0.65,FCMGorilla
BirdChicken,8.43,10.81,0.7,FCMGorilla
SemgHandGenderCh2,10.27,11.89,0.67,FCMGorilla
OliveOil,13.84,19.95,0.7,FCMGorilla
BME,11.43,19.25,0.68,FCMGorilla
LargeKitchenAppliances,46.44,66.91,0.13,FCMGorilla
SonyAIBORobotSurface2,13.22,17.36,0.61,FCMGorilla
Lightning2,13.46,20.9,0.56,FCMGorilla
EthanolLevel,10.86,12.44,0.67,FCMGorilla
UWaveGestureLibraryX,11.69,14.47,0.54,FCMGorilla
FreezerRegularTrain,9.73,9.8,0.74,FCMGorilla
Fish,12.07,12.22,0.72,FCMGorilla
ProximalPhalanxOutlineCorrect,14.08,14.48,0.56,FCMGorilla
NonInvasiveFetalECGThorax2,8.69,10.43,0.69,FCMGorilla
UWaveGestureLibraryY,12.8,14.04,0.51,FCMGorilla
FaceAll,11.79,9.9,0.68,FCMGorilla
StarLightCurves,4.89,3.25,0.71,FCMGorilla
ElectricDevices,24.0,29.23,0.34,FCMGorilla
Earthquakes,25.7,26.73,0.36,FCMGorilla
PowerCons,12.4,21.12,0.61,FCMGorilla
DiatomSizeReduction,11.25,13.11,0.72,FCMGorilla
CinCECGTorso,9.46,10.54,0.69,FCMGorilla
PigCVP,11.55,13.0,0.68,FCMGorilla
ProximalPhalanxTW,12.37,22.58,0.6,FCMGorilla
Average,13,15,0.64,FCMGorilla
