File Name,File Size (mb),Compression Throughput (mb/s),Decompression Throughput (mb/s),Compression Ratio,Method
Haptics,3.7,24.69,25.41,0.69,DFCM
SyntheticControl,0.2,14.49,27.47,0.68,DFCM
Worms,0.76,19,66.09,0.7,DFCM
Computers,2.16,30.37,65.39,0.64,DFCM
HouseTwenty,2.85,21.77,62.61,0.64,DFCM
GestureMidAirD3,0.54,28.48,59.51,0.66,DFCM
Chinatown,0.1,13.6,63.17,0.66,DFCM
UWaveGestureLibraryAll,37.47,28.3,58.56,0.69,DFCM
Strawberry,1,17.2,39.02,0.66,DFCM
Car,0.38,26.92,66.03,0.7,DFCM
GunPointAgeSpan,0.55,29.06,32.88,0.65,DFCM
GestureMidAirD2,0.54,28.46,59.51,0.66,DFCM
BeetleFly,0.11,22.53,78.13,0.69,DFCM
Wafer,10.55,29.31,56.73,0.68,DFCM
CBF,1.29,23.94,58.59,0.68,DFCM
Adiac,0.76,18.55,65.63,0.69,DFCM
ItalyPowerDemand,0.28,16.45,37.68,0.67,DFCM
Yoga,14.06,28.52,49.24,0.69,DFCM
AllGestureWiimoteY,4.1,29.51,65.13,0.65,DFCM
Trace,0.29,26.81,69.94,0.71,DFCM
PigAirwayPressure,4.92,33.02,67.53,0.65,DFCM
ShapesAll,3.38,30.22,66.96,0.69,DFCM
Beef,0.16,31.5,53.79,0.68,DFCM
GesturePebbleZ2,0.85,28.34,54.85,0.65,DFCM
Mallat,26.2,29.91,57.61,0.7,DFCM
GunPointOldVersusYoung,0.55,30.6,60.08,0.65,DFCM
MiddlePhalanxTW,0.14,22.96,47,0.68,DFCM
AllGestureWiimoteX,4.08,30.94,65.13,0.65,DFCM
Meat,0.31,30.64,68.36,0.67,DFCM
Herring,0.36,27.69,62.5,0.69,DFCM
MiddlePhalanxOutlineCorrect,0.26,28.94,59.2,0.68,DFCM
InsectEPGRegularTrain,1.72,28.72,67.16,0.66,DFCM
FordA,7.34,29.71,66.26,0.69,DFCM
SwedishLeaf,0.91,24.51,67.82,0.67,DFCM
InlineSkate,11.39,27.65,67.5,0.69,DFCM
DodgerLoopDay,0.26,29.41,58.59,0.66,DFCM
UMD,0.25,31.19,82.4,0.66,DFCM
CricketY,1.31,26.75,63.76,0.68,DFCM
WormsTwoClass,0.76,24.51,66.09,0.7,DFCM
,,,,,
OSULeaf,1.15,28,71.67,0.69,DFCM
Ham,0.51,27.08,57.54,0.67,DFCM
CricketX,1.32,30.07,63.76,0.67,DFCM
SonyAIBORobotSurface1,0.48,26.83,80.24,0.66,DFCM
ToeSegmentation1,0.71,31.06,60.23,0.67,DFCM
ScreenType,3.21,30.55,66.45,0.64,DFCM
PigArtPressure,4.8,30.58,66.12,0.66,DFCM
SmallKitchenAppliances,3.47,30.15,66.45,0.59,DFCM
Crop,8.98,27.31,66.25,0.66,DFCM
MoteStrain,1.19,29.1,61.72,0.67,DFCM
MelbournePedestrian,0.68,23.49,56.08,0.66,DFCM
ECGFiveDays,1.39,30.93,63.81,0.64,DFCM
Wine,0.15,18.15,48.2,0.66,DFCM
SemgHandMovementCh2,7.95,29.13,67.76,0.65,DFCM
FreezerSmallTrain,9.1,29.63,61.17,0.72,DFCM
UWaveGestureLibraryZ,12.7,32.47,62.38,0.68,DFCM
NonInvasiveFetalECGThorax1,16.56,27.97,63.52,0.68,DFCM
TwoLeadECG,1.07,24.86,54.81,0.67,DFCM
Lightning7,0.27,24.85,59.22,0.65,DFCM
Phoneme,21.67,28.67,54.46,0.68,DFCM
SemgHandSubjectCh2,7.95,26.08,64.37,0.65,DFCM
DodgerLoopWeekend,0.46,24.01,60.64,0.66,DFCM
MiddlePhalanxOutlineAgeGroup,0.14,27.61,47,0.68,DFCM
GestureMidAirD1,0.54,28.37,59.51,0.66,DFCM
DistalPhalanxOutlineCorrect,0.25,30.92,84.23,0.68,DFCM
DistalPhalanxTW,0.12,24.95,84.84,0.68,DFCM
FacesUCR,3.08,29.57,68.3,0.67,DFCM
ECG5000,7.15,27.48,64.09,0.67,DFCM
ShakeGestureWiimoteZ,0.22,28.01,73.43,0.66,DFCM
GesturePebbleZ1,0.93,27.25,66.34,0.64,DFCM
HandOutlines,11.09,33.71,61.18,0.69,DFCM
GunPointMaleVersusFemale,0.55,30.67,72.33,0.65,DFCM
Coffee,0.09,22.12,61.1,0.69,DFCM
Rock,1.64,28.21,60.27,0.66,DFCM
MixedShapesSmallTrain,27.09,29.51,61.71,0.7,DFCM
AllGestureWiimoteZ,4.09,28.97,62.1,0.65,DFCM
FordB,4.5,25.42,65.74,0.69,DFCM
FiftyWords,1.4,22.51,52.07,0.67,DFCM
InsectWingbeatSound,5.79,18.73,54.47,0.67,DFCM
MedicalImages,0.87,17.35,57.4,0.66,DFCM
Symbols,4.37,11.03,13.37,0.69,DFCM
ArrowHead,0.48,6.72,47.87,0.69,DFCM
ProximalPhalanxOutlineAgeGroup,0.18,16.78,41.71,0.68,DFCM
EOGHorizontalSignal,5.27,31.55,63.93,0.66,DFCM
TwoPatterns,5.95,25.41,66.21,0.66,DFCM
ChlorineConcentration,7.31,29.46,64.84,0.67,DFCM
Plane,0.17,19,38.45,0.67,DFCM
ACSF1,1.72,25.67,35.93,0.65,DFCM
PhalangesOutlinesCorrect,0.77,21.98,65.46,0.68,DFCM
ShapeletSim,0.98,20.07,52.82,0.7,DFCM
DistalPhalanxOutlineAgeGroup,0.12,31.19,84.84,0.68,DFCM
InsectEPGSmallTrain,1.72,26.11,40.78,0.66,DFCM
PickupGestureWiimoteZ,0.21,23.34,45.9,0.66,DFCM
EOGVerticalSignal,5.28,32.41,66.39,0.65,DFCM
CricketZ,1.32,27.54,68.66,0.68,DFCM
FaceFour,0.35,23.53,58.75,0.67,DFCM
RefrigerationDevices,3.15,28.63,64.37,0.65,DFCM
PLAID,8.42,26.82,58,0.65,DFCM
MixedShapesRegularTrain,27.09,21.24,46.89,0.7,DFCM
GunPoint,0.25,15.47,57.22,0.69,DFCM
DodgerLoopGame,0.46,25.35,60.64,0.66,DFCM
ECG200,0.11,18.01,73.24,0.68,DFCM
ToeSegmentation2,0.5,8.7,42.52,0.67,DFCM
WordSynonyms,2.01,24.21,62.58,0.65,DFCM
Fungi,0.45,26.49,47.54,0.63,DFCM
BirdChicken,0.11,28.38,39.06,0.69,DFCM
SemgHandGenderCh2,10.6,28.81,67.32,0.65,DFCM
OliveOil,0.19,32,65.23,0.68,DFCM
BME,0.22,27.47,48.83,0.67,DFCM
LargeKitchenAppliances,3.31,30.61,68.66,0.62,DFCM
SonyAIBORobotSurface2,0.73,24.23,47.26,0.65,DFCM
Lightning2,0.46,28.62,74.11,0.65,DFCM
EthanolLevel,10.23,30.81,59.64,0.65,DFCM
UWaveGestureLibraryX,12.68,17.51,50.34,0.68,DFCM
FreezerRegularTrain,9.1,22.97,50.35,0.72,DFCM
Fish,0.89,9.86,41.21,0.7,DFCM
ProximalPhalanxOutlineCorrect,0.26,17.44,35.52,0.68,DFCM
NonInvasiveFetalECGThorax2,16.57,27.12,60.45,0.68,DFCM
UWaveGestureLibraryY,12.71,29.76,41.39,0.68,DFCM
FaceAll,2.54,24.87,64.96,0.67,DFCM
StarLightCurves,92.7,29.11,62.59,0.69,DFCM
ElectricDevices,8.81,27.97,67.23,0.64,DFCM
Earthquakes,0.84,29.88,67.87,0.65,DFCM
PowerCons,0.31,19.12,65.92,0.65,DFCM
DiatomSizeReduction,1.16,24.66,61.96,0.69,DFCM
CinCECGTorso,25.4,28.76,62.98,0.68,DFCM
PigCVP,4.83,30.98,62.23,0.66,DFCM
ProximalPhalanxTW,0.18,30.73,62.56,0.68,DFCM
,4.847401575,25.87307087,59.36102362,0.66992126,